model,query,category,average_similarity
MiniLM,AI in healthcare,healthcare,0.443172
MiniLM,AI in healthcare,food,0.025428
MiniLM,AI in healthcare,sports,0.041836
MiniLM,Italian food dishes,healthcare,-0.010896
MiniLM,Italian food dishes,food,0.54025
MiniLM,Italian food dishes,sports,0.030001
MiniLM,popular sports competitions,healthcare,-0.022047
MiniLM,popular sports competitions,food,0.121677
MiniLM,popular sports competitions,sports,0.409378
BGE,AI in healthcare,healthcare,0.712005
BGE,AI in healthcare,food,0.391868
BGE,AI in healthcare,sports,0.422165
BGE,Italian food dishes,healthcare,0.397833
BGE,Italian food dishes,food,0.718652
BGE,Italian food dishes,sports,0.416617
BGE,popular sports competitions,healthcare,0.471222
BGE,popular sports competitions,food,0.564268
BGE,popular sports competitions,sports,0.681945
E5,AI in healthcare,healthcare,0.799366
E5,AI in healthcare,food,0.623476
E5,AI in healthcare,sports,0.630449
E5,Italian food dishes,healthcare,0.638392
E5,Italian food dishes,food,0.805119
E5,Italian food dishes,sports,0.644626
E5,popular sports competitions,healthcare,0.672979
E5,popular sports competitions,food,0.725125
E5,popular sports competitions,sports,0.768337
MXBAI,AI in healthcare,healthcare,0.681033
MXBAI,AI in healthcare,food,0.298916
MXBAI,AI in healthcare,sports,0.273919
MXBAI,Italian food dishes,healthcare,0.319933
MXBAI,Italian food dishes,food,0.690935
MXBAI,Italian food dishes,sports,0.336899
MXBAI,popular sports competitions,healthcare,0.357192
MXBAI,popular sports competitions,food,0.486222
MXBAI,popular sports competitions,sports,0.650284
